범죄대분류,범죄중분류,남자(20세이하),남자(21-30세),남자(31-40세),남자(41-50세),남자(51-60세),남자(61-70세),남자(71세이상),남자(미상),여자(20세이하),여자(21-30세),여자(31-40세),여자(41-50세),여자(51-60세),여자(61-70세),여자(71세이상),여자(미상)
강력범죄,살인기수,13,28,48,65,69,35,14,0,7,13,22,12,13,3,2,0
강력범죄,살인미수등,16,79,76,119,139,50,19,0,1,11,9,18,14,5,5,0
강력범죄,강도,270,306,309,233,149,37,10,0,62,16,24,17,14,7,1,1
강력범죄,강간,1039,1810,1229,894,617,213,65,4,25,8,16,8,11,4,0,0
강력범죄,유사강간,166,168,109,112,77,38,10,0,3,4,4,2,0,1,0,0
강력범죄,강제추행,1473,3609,3379,3754,3384,1526,655,5,71,111,101,97,83,22,2,0
강력범죄,기타강간강제추행등,117,88,54,34,38,19,12,0,5,2,1,1,0,0,0,0
강력범죄,방화,121,101,137,296,297,86,29,0,16,25,38,57,56,20,7,0
절도범죄,절도범죄,20726,14103,10902,11529,12404,6695,4109,26,3392,3359,3269,4213,5305,3406,2240,17
폭력범죄,상해,4252,8018,9243,11975,10811,3931,1331,9,740,1337,1552,2171,2199,892,383,7
폭력범죄,폭행,12379,29271,34006,42375,39101,13839,3893,100,3437,7449,6771,7706,6886,2497,1003,32
폭력범죄,체포감금,149,342,325,388,259,94,16,0,53,43,53,71,85,16,7,10
폭력범죄,협박,617,1705,2833,4258,3694,1358,314,11,134,218,399,476,411,118,45,8
폭력범죄,약취유인,36,34,44,35,29,19,4,1,6,11,25,13,13,12,2,1
폭력범죄,폭력행위등,8008,7708,5128,4124,2943,860,217,37,2582,1684,954,967,937,353,116,29
폭력범죄,공갈,1088,380,483,510,432,163,37,1,81,89,86,89,87,33,11,3
폭력범죄,손괴,1561,4567,5804,7667,6860,2622,1003,47,202,606,824,1161,1264,441,266,5
지능범죄,직무유기,3,23,96,169,196,18,5,29,0,10,30,44,23,1,1,15
지능범죄,직권남용,0,51,110,182,200,33,5,17,0,4,15,29,22,5,1,5
지능범죄,증수뢰,0,5,74,343,462,121,18,0,0,2,18,31,32,19,3,0
지능범죄,통화,22,34,13,362,61,14,2,1,4,4,2,1,5,4,1,1
지능범죄,문서인장,1209,1113,1785,2656,3001,1338,547,21,746,388,640,1002,923,336,146,67
지능범죄,유가증권인지,1,2,31,78,110,51,9,0,3,1,4,8,21,10,1,0
지능범죄,사기,10231,25879,29683,42658,38968,12241,2344,104,2312,6262,8636,11428,12387,4275,841,233
지능범죄,횡령,1452,2724,4442,6693,6549,2923,1269,11,554,789,1141,1784,1894,944,369,42
지능범죄,배임,5,131,812,1879,2274,966,372,3,4,61,198,315,477,227,64,18
풍속범죄,성풍속범죄,1870,3411,2848,1751,1087,385,142,5,112,173,96,77,55,21,5,8
풍속범죄,도박범죄,207,2550,3915,4425,6103,2224,336,0,9,119,244,605,1873,908,216,1
특별경제범죄,특별경제범죄,1586,7681,11470,15053,14160,4755,1011,54,587,2494,3315,4350,4127,1427,308,74
마약범죄,마약범죄,61,903,1709,1988,1222,353,212,0,57,492,444,250,205,238,378,0
보건범죄,보건범죄,55,726,2227,2734,2414,1070,356,3,76,1063,1806,2634,2827,921,210,8
환경범죄,환경범죄,5,93,488,1080,1535,603,110,0,10,26,72,132,164,53,6,1
교통범죄,교통범죄,14054,68792,87518,93771,90666,42154,13262,120,901,10144,17125,23025,16882,5234,887,17
노동범죄,노동범죄,3,183,667,909,799,345,10,1,3,186,467,563,639,187,1,1
안보범죄,안보범죄,9,62,52,30,30,11,8,2,0,13,17,6,5,4,1,1
선거범죄,선거범죄,25,54,51,122,198,108,47,0,0,11,25,43,44,23,8,28
병역범죄,병역범죄,489,12293,1540,31,41,9,0,3,4,18,14,52,74,6,0,0
기타범죄,기타범죄,8332,26913,40679,51103,49009,19660,5660,146,4498,9398,11651,17962,19294,6523,1748,254
